Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,transaction_type,description_recovered,description_source,invoice_date_only,invoice_year,invoice_month,invoice_weekday,is_guest_transaction,price_category,is_special_transaction
489464,21733,85123a mixed,-96,2009-12-01 10:52:00,0.0,,United Kingdom,RETURN,False,original,2009-12-01,2009,12,1,True,PRICE_ZERO,True
489463,71477,short,-240,2009-12-01 10:52:00,0.0,,United Kingdom,RETURN,False,original,2009-12-01,2009,12,1,True,PRICE_ZERO,True
489467,85123A,21733 mixed,-192,2009-12-01 10:53:00,0.0,,United Kingdom,RETURN,False,original,2009-12-01,2009,12,1,True,PRICE_ZERO,True
489521,21646,Unknown Product,-50,2009-12-01 11:44:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-01,2009,12,1,True,PRICE_ZERO,True
489655,20683,RAIN GIRL CHILDS UMBRELLA,-44,2009-12-01 17:26:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-01,2009,12,1,True,PRICE_ZERO,True
489660,35956,lost,-1043,2009-12-01 17:43:00,0.0,,United Kingdom,RETURN,False,original,2009-12-01,2009,12,1,True,PRICE_ZERO,True
489663,35605A,damages,-117,2009-12-01 18:02:00,0.0,,United Kingdom,RETURN,False,original,2009-12-01,2009,12,1,True,PRICE_ZERO,True
489806,18010,ASSORTED FRAGRANCE BATH CONFETTI,-770,2009-12-02 12:42:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-02,2009,12,2,True,PRICE_ZERO,True
489820,21133,invcd as 84879?,-720,2009-12-02 13:23:00,0.0,,United Kingdom,RETURN,False,original,2009-12-02,2009,12,2,True,PRICE_ZERO,True
489821,85049G,CHOCOLATE BOX RIBBONS,-240,2009-12-02 13:25:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-02,2009,12,2,True,PRICE_ZERO,True
489899,79323GR,sold as gold,-954,2009-12-03 09:41:00,0.0,,United Kingdom,RETURN,False,original,2009-12-03,2009,12,3,True,PRICE_ZERO,True
489901,21098,CHRISTMAS TOILET ROLL,-200,2009-12-03 09:47:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-03,2009,12,3,True,PRICE_ZERO,True
490007,84347,21494,-720,2009-12-03 12:09:00,0.0,,United Kingdom,RETURN,False,original,2009-12-03,2009,12,3,True,PRICE_ZERO,True
490016,21982,PACK OF 12 SUKI TISSUES,-1012,2009-12-03 12:30:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-03,2009,12,3,True,PRICE_ZERO,True
490055,20620,RED SPOTTY PASSPORT COVER,-25,2009-12-03 13:22:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-03,2009,12,3,True,PRICE_ZERO,True
490084,85064,CREAM SWEETHEART LETTER RACK,-89,2009-12-03 15:37:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-03,2009,12,3,True,PRICE_ZERO,True
490130,21493,lost?,-600,2009-12-03 18:28:00,0.0,,United Kingdom,RETURN,False,original,2009-12-03,2009,12,3,True,PRICE_ZERO,True
490146,21558,SKULL LUNCH BOX WITH CUTLERY,-169,2009-12-04 09:29:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-04,2009,12,4,True,PRICE_ZERO,True
490165,21493,VINTAGE DESIGN GIFT TAGS,-106,2009-12-04 11:32:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-04,2009,12,4,True,PRICE_ZERO,True
490354,21489,BLUE WHITE SCARF HOT WATER BOTTLE,-23,2009-12-04 16:39:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-04,2009,12,4,True,PRICE_ZERO,True
490379,21490,SET OF THREE 50'S GIFT WRAPS,-44,2009-12-05 13:26:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-05,2009,12,5,True,PRICE_ZERO,True
490384,84721,MANHATTAN CANVAS ART PICTURE,-42,2009-12-05 14:00:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-05,2009,12,5,True,PRICE_ZERO,True
490540,37446,MINI CAKE STAND WITH HANGING CAKES,-725,2009-12-07 09:24:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-07,2009,12,0,True,PRICE_ZERO,True
490713,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-20,2009-12-07 15:26:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-07,2009,12,0,True,PRICE_ZERO,True
490715,22158,3 HEARTS HANGING DECORATION RUSTIC,-30,2009-12-07 15:27:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-07,2009,12,0,True,PRICE_ZERO,True
490735,35976B,WHITE SCANDINAVIAN HEART CHRISTMAS,-60,2009-12-07 17:12:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-07,2009,12,0,True,PRICE_ZERO,True
490736,35983,Unknown Product,-200,2009-12-07 17:13:00,0.0,,United Kingdom,RETURN,False,unknown,2009-12-07,2009,12,0,True,PRICE_ZERO,True
490765,21450,damaged,-31,2009-12-08 10:59:00,0.0,,United Kingdom,RETURN,False,original,2009-12-08,2009,12,1,True,PRICE_ZERO,True
490766,51008,wet,-200,2009-12-08 11:06:00,0.0,,United Kingdom,RETURN,False,original,2009-12-08,2009,12,1,True,PRICE_ZERO,True
490975,15059A,ENGLISH ROSE EDWARDIAN PARASOL,-126,2009-12-08 16:41:00,0.0,,United Kingdom,RETURN,True,recovered,2009-12-08,2009,12,1,True,PRICE_ZERO,True
