date,year,month,quarter,day,day_of_week,day_name,is_weekend,is_holiday,holiday_name,season,week_of_year
2022-01-01,2022,1,1,1,5,Saturday,1,1,New Year's Day,Winter,52
2022-01-02,2022,1,1,2,6,Sunday,1,0,Regular Day,Winter,52
2022-01-03,2022,1,1,3,0,Monday,0,0,Regular Day,Winter,1
2022-01-04,2022,1,1,4,1,Tuesday,0,0,Regular Day,Winter,1
2022-01-05,2022,1,1,5,2,Wednesday,0,0,Regular Day,Winter,1
2022-01-06,2022,1,1,6,3,Thursday,0,0,Regular Day,Winter,1
2022-01-07,2022,1,1,7,4,Friday,0,0,Regular Day,Winter,1
2022-01-08,2022,1,1,8,5,Saturday,1,0,Regular Day,Winter,1
2022-01-09,2022,1,1,9,6,Sunday,1,0,Regular Day,Winter,1
2022-01-10,2022,1,1,10,0,Monday,0,0,Regular Day,Winter,2
2022-01-11,2022,1,1,11,1,Tuesday,0,0,Regular Day,Winter,2
2022-01-12,2022,1,1,12,2,Wednesday,0,0,Regular Day,Winter,2
2022-01-13,2022,1,1,13,3,Thursday,0,0,Regular Day,Winter,2
2022-01-14,2022,1,1,14,4,Friday,0,0,Regular Day,Winter,2
2022-01-15,2022,1,1,15,5,Saturday,1,0,Regular Day,Winter,2
2022-01-16,2022,1,1,16,6,Sunday,1,0,Regular Day,Winter,2
2022-01-17,2022,1,1,17,0,Monday,0,0,Regular Day,Winter,3
2022-01-18,2022,1,1,18,1,Tuesday,0,0,Regular Day,Winter,3
2022-01-19,2022,1,1,19,2,Wednesday,0,0,Regular Day,Winter,3
2022-01-20,2022,1,1,20,3,Thursday,0,0,Regular Day,Winter,3
2022-01-21,2022,1,1,21,4,Friday,0,0,Regular Day,Winter,3
2022-01-22,2022,1,1,22,5,Saturday,1,0,Regular Day,Winter,3
2022-01-23,2022,1,1,23,6,Sunday,1,0,Regular Day,Winter,3
2022-01-24,2022,1,1,24,0,Monday,0,0,Regular Day,Winter,4
2022-01-25,2022,1,1,25,1,Tuesday,0,0,Regular Day,Winter,4
2022-01-26,2022,1,1,26,2,Wednesday,0,0,Regular Day,Winter,4
2022-01-27,2022,1,1,27,3,Thursday,0,0,Regular Day,Winter,4
2022-01-28,2022,1,1,28,4,Friday,0,0,Regular Day,Winter,4
2022-01-29,2022,1,1,29,5,Saturday,1,0,Regular Day,Winter,4
2022-01-30,2022,1,1,30,6,Sunday,1,0,Regular Day,Winter,4
2022-01-31,2022,1,1,31,0,Monday,0,0,Regular Day,Winter,5
2022-02-01,2022,2,1,1,1,Tuesday,0,0,Regular Day,Winter,5
2022-02-02,2022,2,1,2,2,Wednesday,0,0,Regular Day,Winter,5
2022-02-03,2022,2,1,3,3,Thursday,0,0,Regular Day,Winter,5
2022-02-04,2022,2,1,4,4,Friday,0,0,Regular Day,Winter,5
2022-02-05,2022,2,1,5,5,Saturday,1,0,Regular Day,Winter,5
2022-02-06,2022,2,1,6,6,Sunday,1,0,Regular Day,Winter,5
2022-02-07,2022,2,1,7,0,Monday,0,0,Regular Day,Winter,6
2022-02-08,2022,2,1,8,1,Tuesday,0,0,Regular Day,Winter,6
2022-02-09,2022,2,1,9,2,Wednesday,0,0,Regular Day,Winter,6
2022-02-10,2022,2,1,10,3,Thursday,0,0,Regular Day,Winter,6
2022-02-11,2022,2,1,11,4,Friday,0,0,Regular Day,Winter,6
2022-02-12,2022,2,1,12,5,Saturday,1,0,Regular Day,Winter,6
2022-02-13,2022,2,1,13,6,Sunday,1,0,Regular Day,Winter,6
2022-02-14,2022,2,1,14,0,Monday,0,0,Regular Day,Winter,7
2022-02-15,2022,2,1,15,1,Tuesday,0,0,Regular Day,Winter,7
2022-02-16,2022,2,1,16,2,Wednesday,0,0,Regular Day,Winter,7
2022-02-17,2022,2,1,17,3,Thursday,0,0,Regular Day,Winter,7
2022-02-18,2022,2,1,18,4,Friday,0,0,Regular Day,Winter,7
2022-02-19,2022,2,1,19,5,Saturday,1,0,Regular Day,Winter,7
2022-02-20,2022,2,1,20,6,Sunday,1,0,Regular Day,Winter,7
2022-02-21,2022,2,1,21,0,Monday,0,0,Regular Day,Winter,8
2022-02-22,2022,2,1,22,1,Tuesday,0,0,Regular Day,Winter,8
2022-02-23,2022,2,1,23,2,Wednesday,0,0,Regular Day,Winter,8
2022-02-24,2022,2,1,24,3,Thursday,0,0,Regular Day,Winter,8
2022-02-25,2022,2,1,25,4,Friday,0,0,Regular Day,Winter,8
2022-02-26,2022,2,1,26,5,Saturday,1,0,Regular Day,Winter,8
2022-02-27,2022,2,1,27,6,Sunday,1,0,Regular Day,Winter,8
2022-02-28,2022,2,1,28,0,Monday,0,0,Regular Day,Winter,9
2022-03-01,2022,3,1,1,1,Tuesday,0,0,Regular Day,Spring,9
2022-03-02,2022,3,1,2,2,Wednesday,0,0,Regular Day,Spring,9
2022-03-03,2022,3,1,3,3,Thursday,0,0,Regular Day,Spring,9
2022-03-04,2022,3,1,4,4,Friday,0,0,Regular Day,Spring,9
2022-03-05,2022,3,1,5,5,Saturday,1,0,Regular Day,Spring,9
2022-03-06,2022,3,1,6,6,Sunday,1,0,Regular Day,Spring,9
2022-03-07,2022,3,1,7,0,Monday,0,0,Regular Day,Spring,10
2022-03-08,2022,3,1,8,1,Tuesday,0,0,Regular Day,Spring,10
2022-03-09,2022,3,1,9,2,Wednesday,0,0,Regular Day,Spring,10
2022-03-10,2022,3,1,10,3,Thursday,0,0,Regular Day,Spring,10
2022-03-11,2022,3,1,11,4,Friday,0,0,Regular Day,Spring,10
2022-03-12,2022,3,1,12,5,Saturday,1,0,Regular Day,Spring,10
2022-03-13,2022,3,1,13,6,Sunday,1,0,Regular Day,Spring,10
2022-03-14,2022,3,1,14,0,Monday,0,0,Regular Day,Spring,11
2022-03-15,2022,3,1,15,1,Tuesday,0,0,Regular Day,Spring,11
2022-03-16,2022,3,1,16,2,Wednesday,0,0,Regular Day,Spring,11
2022-03-17,2022,3,1,17,3,Thursday,0,0,Regular Day,Spring,11
2022-03-18,2022,3,1,18,4,Friday,0,0,Regular Day,Spring,11
2022-03-19,2022,3,1,19,5,Saturday,1,0,Regular Day,Spring,11
2022-03-20,2022,3,1,20,6,Sunday,1,0,Regular Day,Spring,11
2022-03-21,2022,3,1,21,0,Monday,0,0,Regular Day,Spring,12
2022-03-22,2022,3,1,22,1,Tuesday,0,0,Regular Day,Spring,12
2022-03-23,2022,3,1,23,2,Wednesday,0,0,Regular Day,Spring,12
2022-03-24,2022,3,1,24,3,Thursday,0,0,Regular Day,Spring,12
2022-03-25,2022,3,1,25,4,Friday,0,0,Regular Day,Spring,12
2022-03-26,2022,3,1,26,5,Saturday,1,0,Regular Day,Spring,12
2022-03-27,2022,3,1,27,6,Sunday,1,0,Regular Day,Spring,12
2022-03-28,2022,3,1,28,0,Monday,0,0,Regular Day,Spring,13
2022-03-29,2022,3,1,29,1,Tuesday,0,0,Regular Day,Spring,13
2022-03-30,2022,3,1,30,2,Wednesday,0,0,Regular Day,Spring,13
2022-03-31,2022,3,1,31,3,Thursday,0,0,Regular Day,Spring,13
2022-04-01,2022,4,2,1,4,Friday,0,0,Regular Day,Spring,13
2022-04-02,2022,4,2,2,5,Saturday,1,0,Regular Day,Spring,13
2022-04-03,2022,4,2,3,6,Sunday,1,0,Regular Day,Spring,13
2022-04-04,2022,4,2,4,0,Monday,0,0,Regular Day,Spring,14
2022-04-05,2022,4,2,5,1,Tuesday,0,0,Regular Day,Spring,14
2022-04-06,2022,4,2,6,2,Wednesday,0,0,Regular Day,Spring,14
2022-04-07,2022,4,2,7,3,Thursday,0,0,Regular Day,Spring,14
2022-04-08,2022,4,2,8,4,Friday,0,0,Regular Day,Spring,14
2022-04-09,2022,4,2,9,5,Saturday,1,0,Regular Day,Spring,14
2022-04-10,2022,4,2,10,6,Sunday,1,0,Regular Day,Spring,14
2022-04-11,2022,4,2,11,0,Monday,0,0,Regular Day,Spring,15
2022-04-12,2022,4,2,12,1,Tuesday,0,0,Regular Day,Spring,15
2022-04-13,2022,4,2,13,2,Wednesday,0,0,Regular Day,Spring,15
2022-04-14,2022,4,2,14,3,Thursday,0,0,Regular Day,Spring,15
2022-04-15,2022,4,2,15,4,Friday,0,0,Regular Day,Spring,15
2022-04-16,2022,4,2,16,5,Saturday,1,0,Regular Day,Spring,15
2022-04-17,2022,4,2,17,6,Sunday,1,0,Regular Day,Spring,15
2022-04-18,2022,4,2,18,0,Monday,0,0,Regular Day,Spring,16
2022-04-19,2022,4,2,19,1,Tuesday,0,0,Regular Day,Spring,16
2022-04-20,2022,4,2,20,2,Wednesday,0,0,Regular Day,Spring,16
2022-04-21,2022,4,2,21,3,Thursday,0,0,Regular Day,Spring,16
2022-04-22,2022,4,2,22,4,Friday,0,0,Regular Day,Spring,16
2022-04-23,2022,4,2,23,5,Saturday,1,0,Regular Day,Spring,16
2022-04-24,2022,4,2,24,6,Sunday,1,0,Regular Day,Spring,16
2022-04-25,2022,4,2,25,0,Monday,0,0,Regular Day,Spring,17
2022-04-26,2022,4,2,26,1,Tuesday,0,0,Regular Day,Spring,17
2022-04-27,2022,4,2,27,2,Wednesday,0,0,Regular Day,Spring,17
2022-04-28,2022,4,2,28,3,Thursday,0,0,Regular Day,Spring,17
2022-04-29,2022,4,2,29,4,Friday,0,0,Regular Day,Spring,17
2022-04-30,2022,4,2,30,5,Saturday,1,0,Regular Day,Spring,17
2022-05-01,2022,5,2,1,6,Sunday,1,0,Regular Day,Spring,17
2022-05-02,2022,5,2,2,0,Monday,0,0,Regular Day,Spring,18
2022-05-03,2022,5,2,3,1,Tuesday,0,0,Regular Day,Spring,18
2022-05-04,2022,5,2,4,2,Wednesday,0,0,Regular Day,Spring,18
