date,store_id,sku_id,beginning_inventory,receipts,units_sold,ending_inventory,stockout_flag,on_order_qty
2022-01-01,STORE_001,SKU_00001,84,0,26,58,0,0
2022-01-02,STORE_001,SKU_00001,58,0,14,44,0,100
2022-01-03,STORE_001,SKU_00001,44,0,7,37,0,100
2022-01-04,STORE_001,SKU_00001,37,0,15,22,0,100
2022-01-05,STORE_001,SKU_00001,22,0,13,9,0,100
2022-01-06,STORE_001,SKU_00001,9,0,9,0,1,100
2022-01-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-11,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-12,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-13,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-14,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-15,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-21,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-22,STORE_001,SKU_00001,100,100,23,77,0,0
2022-01-23,STORE_001,SKU_00001,77,0,28,49,0,100
2022-01-24,STORE_001,SKU_00001,49,0,14,35,0,100
2022-01-25,STORE_001,SKU_00001,35,0,18,17,0,100
2022-01-26,STORE_001,SKU_00001,17,0,7,10,0,100
2022-01-27,STORE_001,SKU_00001,10,0,8,2,0,100
2022-01-28,STORE_001,SKU_00001,2,0,2,0,1,100
2022-01-29,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-30,STORE_001,SKU_00001,0,0,0,0,1,100
2022-01-31,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-02,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-03,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-06,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-07,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-08,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-09,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-10,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-11,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-12,STORE_001,SKU_00001,100,100,20,80,0,0
2022-02-13,STORE_001,SKU_00001,80,0,19,61,0,0
2022-02-14,STORE_001,SKU_00001,61,0,11,50,0,100
2022-02-15,STORE_001,SKU_00001,50,0,12,38,0,100
2022-02-16,STORE_001,SKU_00001,38,0,14,24,0,100
2022-02-17,STORE_001,SKU_00001,24,0,15,9,0,100
2022-02-18,STORE_001,SKU_00001,9,0,9,0,1,100
2022-02-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-21,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-22,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-23,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-24,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-25,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-26,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-27,STORE_001,SKU_00001,0,0,0,0,1,100
2022-02-28,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-01,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-02,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-03,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-04,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-05,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-06,STORE_001,SKU_00001,100,100,27,73,0,0
2022-03-07,STORE_001,SKU_00001,73,0,18,55,0,100
2022-03-08,STORE_001,SKU_00001,55,0,20,35,0,100
2022-03-09,STORE_001,SKU_00001,35,0,22,13,0,100
2022-03-10,STORE_001,SKU_00001,13,0,13,0,1,100
2022-03-11,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-12,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-13,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-14,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-15,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-16,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-17,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-18,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-19,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-20,STORE_001,SKU_00001,0,0,0,0,1,100
2022-03-21,STORE_001,SKU_00001,0,0,0,0,1,100
