feature_name,dtype,missing_pct,infinite_count,unique_count,min,max,leakage_status
date,datetime64[us],0.0,0,2065,,,PASS
source_dataset,string,0.0,0,2,,,PASS
entity_id,string,0.0,0,11,,,PASS
entity_type,string,0.0,0,2,,,PASS
product_key,string,0.0,0,5084,,,PASS
sku_id,string,0.0,0,5084,,,PASS
units_sold,int64,0.0,0,1074,0.0,80995.0,PASS
revenue,float64,0.0,0,50689,0.0,168469.6,PASS
average_unit_price,float64,0.0,0,37368,0.0,13541.33,PASS
transaction_count,int64,0.0,0,63,0.0,62.0,PASS
unique_customers,int64,0.0,0,56,0.0,55.0,PASS
promotion_flag,Int64,26.7851,0,2,0.0,1.0,PASS
year,int32,0.0,0,7,2009.0,2025.0,PASS
month,int32,0.0,0,12,1.0,12.0,PASS
quarter,int32,0.0,0,4,1.0,4.0,PASS
week_of_year,int64,0.0,0,52,1.0,52.0,PASS
day_of_week,int32,0.0,0,7,0.0,6.0,PASS
day_of_month,int32,0.0,0,31,1.0,31.0,PASS
day_of_year,int32,0.0,0,366,1.0,366.0,PASS
is_weekend,int64,0.0,0,2,0.0,1.0,PASS
month_sin,float64,0.0,0,11,-1.0,1.0,PASS
month_cos,float64,0.0,0,11,-1.0,1.0,PASS
dow_sin,float64,0.0,0,7,-0.9749279121818236,0.9749279121818236,PASS
dow_cos,float64,0.0,0,7,-0.9009688679024191,1.0,PASS
units_sold_lag_1,float64,0.2999,0,1064,0.0,74215.0,PASS_LEAKAGE_SAFE
units_sold_lag_2,float64,0.5892,0,1051,0.0,74215.0,PASS_LEAKAGE_SAFE
units_sold_lag_3,float64,0.8732,0,1043,0.0,74215.0,PASS_LEAKAGE_SAFE
units_sold_lag_7,float64,1.9682,0,1033,0.0,74215.0,PASS_LEAKAGE_SAFE
units_sold_lag_14,float64,3.7663,0,1018,0.0,74215.0,PASS_LEAKAGE_SAFE
units_sold_lag_21,float64,5.4493,0,1004,0.0,74215.0,PASS_LEAKAGE_SAFE
units_sold_lag_28,float64,7.0369,0,988,0.0,74215.0,PASS_LEAKAGE_SAFE
units_sold_lag_30,float64,7.4726,0,981,0.0,74215.0,PASS_LEAKAGE_SAFE
rolling_mean_7,float64,0.2999,0,4395,0.0,74215.0,PASS_LEAKAGE_SAFE
rolling_std_7,float64,0.5892,0,391490,0.0,52401.56223339148,PASS_LEAKAGE_SAFE
rolling_mean_14,float64,0.2999,0,8633,0.0,74215.0,PASS_LEAKAGE_SAFE
rolling_std_14,float64,0.5892,0,615976,0.0,52401.56223339148,PASS_LEAKAGE_SAFE
rolling_mean_30,float64,0.2999,0,21126,0.5666666666666667,74215.0,PASS_LEAKAGE_SAFE
rolling_std_30,float64,0.5892,0,855373,0.0,52401.56223339148,PASS_LEAKAGE_SAFE
demand_change_1,float64,0.5892,0,2197,-74107.0,19146.0,PASS_LEAKAGE_SAFE
demand_change_7,float64,2.2334,0,2152,-74188.0,19140.0,PASS_LEAKAGE_SAFE
demand_growth_7,float64,1.9682,0,43677,-0.8567729641876367,1798.357142857143,PASS_LEAKAGE_SAFE
demand_growth_30,float64,7.4726,0,83116,-0.966118716539111,286.18333333333334,PASS_LEAKAGE_SAFE
base_price,float64,26.7851,0,100,4.9,401.15,PASS
discount_pct,float64,26.7851,0,358,0.0,0.25023084025854114,PASS
price_lag_1,float64,0.2999,0,37176,0.0,13541.33,PASS_LEAKAGE_SAFE
price_change,float64,0.2999,0,86515,-13321.57,8965.6,PASS
promotion_available,int64,0.0,0,2,0.0,1.0,PASS
promo_rolling_7,float64,26.8352,0,17,0.0,1.0,PASS_LEAKAGE_SAFE
category,string,26.7851,0,6,,,PASS
sub_category,string,26.7851,0,28,,,PASS
brand,string,26.7851,0,43,,,PASS
region,object,26.7851,0,4,,,PASS
store_type,object,26.7851,0,5,,,PASS
store_size_sqft,float64,26.7851,0,3,25000.0,85000.0,PASS
ending_inventory,float64,26.8352,0,989,0.0,1021.0,PASS_LEAKAGE_SAFE
on_order_qty,float64,26.8352,0,73,0.0,732.0,PASS_LEAKAGE_SAFE
stockout_flag,float64,26.8352,0,2,0.0,1.0,PASS_LEAKAGE_SAFE
historical_doi,float64,44.5451,0,66301,0.0,1050.0,PASS_LEAKAGE_SAFE
is_holiday,int64,0.0,0,2,0.0,1.0,PASS
season,str,0.0,0,4,,,PASS
split,str,0.0,0,3,,,PASS
insufficient_history,int64,0.0,0,2,0.0,1.0,PASS
